,DroppingNode,DummyID,DummyType,DummyTimeLeft,DummyDelay,DummyRoute,DummyPr
0,9,d_4_2,Dummy,0,"[0, 0, 0.12699856825301883, 0.1294093213625158, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 79]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,7,d_4_1,Dummy,0,"[0, 0, 0.40438503316457847, 0.16545966873563103, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 52]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,8,d_6_1,Dummy,0,"[0, 0, 0.5841823927832391, 0.1842144356182551, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,9,d_5_1,Dummy,0,"[0, 0, 1.0312854135820106, 0.3913321498987272, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 92]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,9,d_5_2,Dummy,0,"[0, 0, 0.8261442513900829, 0.30426169716249996, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 97]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,8,d_6_2,Dummy,0,"[0, 0, 0.0028160666627703715, 0.37988614774690893, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 74]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,7,d_5_3,Dummy,0,"[0, 0, 0.7396396163105315, 0.31845191546080265, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,8,d_6_5,Dummy,0,"[0, 0, 0.15921467408432685, 0.43550407652481254, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 66]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,9,d_6_3,Dummy,0,"[0, 0, 0.3296222046048517, 0.30396550880550693, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,8,d_6_4,Dummy,0,"[0, 0, 0.3273217911975048, 0.22187793328693228, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 24]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,8,d_4_3,Dummy,0,"[0, 0, 1.074167335546106, 0.2799752461057441, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 51]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,8,d_4_4,Dummy,0,"[0, 0, 0.03606008641315409, 0.005823844011828674, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 85]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,8,d_4_5,Dummy,0,"[0, 0, 0.20432371846682826, 0.1859057723913425, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,7,d_6_6,Dummy,0,"[0, 0, 0.6044457477586342, 0.7113517379678025, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 50]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,9,d_6_7,Dummy,0,"[0, 0, 0.169332872000363, 0.36407782553543017, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 75]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,8,d_6_8,Dummy,0,"[0, 0, 0.17165143776959477, 0.30161532519736034, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 27]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,7,d_6_10,Dummy,0,"[0, 0, 0.5633898674784301, 0.11473443255113636, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 66]","[0.006213388133030989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,9,d_6_9,Dummy,0,"[0, 0, 0.8322824819133897, 0.042747016469033505, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 20]","[0.002903132211144305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,7,d_5_4,Dummy,0,"[0, 0, 0.30980465162967896, 0.13314998314097815, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 86]","[0.004462392913061433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,7,d_5_5,Dummy,0,"[0, 0, 0.0675057515634264, 0.24413335269945657, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 50]","[0.0005629345044847278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,8,d_4_6,Dummy,0,"[0, 0, 0.3942640783588171, 0.2856037187878687, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 51]","[0.0007710156382640013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,9,d_4_7,Dummy,0,"[0, 0, 0.15843194611569553, 0.0748374568744282, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 89]","[0.00059803136044836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,9,d_5_7,Dummy,0,"[0, 0, 0.1268720014895069, 0.2717224849977676, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 77]","[2.5358494571424345e-05, 0.005076586589934152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,9,d_5_6,Dummy,0,"[0, 0, 1.0907332947129722, 0.048903400900321414, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 42]","[1.1324486893408247e-05, 0.002272200853620272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,9,d_4_8,Dummy,0,"[0, 0, 0.22999946114329803, 0.19872549005067966, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 55]","[8.292812222341636e-06, 0.0010476968158678937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,7,d_4_9,Dummy,0,"[0, 0, 0.2643827914251074, 0.12994745841325755, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 91]","[1.7634391598620532e-06, 0.0002753734011531923, 0.014672364672364671, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,9,d_6_11,Dummy,0,"[0, 0, 0.2630326626443742, 0.47109624992945415, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 76]","[3.326463230827876e-07, 0.00023170777241651933, 0.01248739207617203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,9,d_6_12,Dummy,0,"[0, 0, 0.19004591195309758, 0.4706535121111439, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 84]","[3.128951818447517e-07, 0.00021722603664048687, 0.01421525850566564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,8,d_5_8,Dummy,0,"[0, 0, 0.1615240814671975, 0.4192407182294638, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 20]","[2.9180246857505994e-07, 0.00011854918457664136, 0.002608661571624535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,8,d_5_9,Dummy,0,"[0, 0, 0.13563473605720516, 0.14858460639717563, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 4]","[6.657206209186461e-08, 3.157064293809375e-05, 0.0026411378268798953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,8,d_4_10,Dummy,0,"[0, 0, 0.2845831878908428, 0.050363988939742976, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 97]","[8.398715874582985e-08, 1.8244559569475486e-05, 0.004592781273135345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
