,Entropy
0,8.240188090587772
1,8.06289271480887
2,8.125039699289802
3,8.154362878974508
4,8.081259628525054
5,7.275998690322286
6,7.88863252610408
7,8.191288991064654
8,8.169210770497921
9,8.169155950159086
10,8.206418135858154
11,7.883663556739896
12,7.741244411569847
13,7.770005557418548
14,7.694641096993651
15,7.796193823443718
16,7.67374425765763
17,8.177405127876003
18,7.76383881474904
19,7.880943583694956
20,7.90528482598272
21,7.869690702523936
22,7.945200154070331
23,7.824631753777625
24,7.931194063283157
25,7.936403550625987
26,7.77945614880904
27,7.427623561168091
28,7.804700680690369
29,7.851664007171172
30,8.127886198079333
31,7.7923716930637275
32,7.983441512035276
33,8.072682595601911
34,8.12593848275488
35,7.747321080918837
36,8.184818536228697
37,8.064917772595145
38,8.000610580957035
39,8.259332340103011
40,8.029889919237064
41,8.09985440148562
42,7.850627936448239
43,7.992900251747695
44,7.998889842687595
45,8.133691629361769
46,7.971079586744972
47,8.200021069936051
48,8.172383528996718
49,7.865393762518056
50,7.98259744659706
51,8.076023797454306
52,7.948422863627397
53,8.09774188302375
54,8.11021407611557
55,8.090255730778965
56,8.193942301829452
57,8.251764250961815
58,8.04560856633606
59,8.03976403099458
60,8.167476908109006
61,8.13221537564355
62,7.915955066369224
63,7.987239322806208
64,7.885189430420504
65,8.072242627245961
66,8.40474424029274
67,7.907402402135581
68,7.9860773537284455
69,7.957215018123707
70,8.194722871924641
71,8.24161246024025
72,7.89378799926821
73,7.993786111295259
74,7.828579666601345
75,7.94306576171691
76,7.847368683273908
77,7.865250786160773
78,7.704789393010582
79,7.456130178433577
80,7.746914064838712
81,7.863940786724838
82,8.271076914846121
83,8.157573760193976
84,8.041462596550929
85,7.9124519577462555
86,7.868890967580679
87,8.233469895778985
88,7.987507233743433
89,7.848683962472238
90,7.582002652859678
91,8.3212328110164
92,8.20602428265875
93,8.191580624853408
94,8.221135755681994
95,8.198112627787353
96,8.281623975102749
97,8.15175833102473
98,8.399397737547996
99,8.137106242652704
100,8.077715235672569
101,8.117052624750052
102,8.035017583069315
103,8.100598497394339
104,7.768764027571027
105,8.05544134633299
106,8.158070054394049
107,8.4205235234823
108,8.134714888314347
109,8.004437487418494
110,8.239159346024772
111,7.7541462024593
112,8.125248339149843
113,7.940861325638194
114,7.491279599151213
115,7.793870275728172
116,7.791369670410968
117,8.182334489954647
118,8.074936642705147
119,7.940915465483545
120,8.13371815191229
121,7.614985673085651
