,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
0,93_1,Real,0.0247662083805642,0.37691272337537907,"[0.0247662083805642, 0.007063065520636878, 0.04768103267414371, 0.09740241680003432, 0]","[Client id: 93, ( id: 2, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 87]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,2_1,Real,0.04681290446263894,0.4610542269287869,"[0.04681290446263894, 0.01069657481463753, 0.14264721821263868, 0.060897529438871764, 0]","[Client id: 2, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 48]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,54_1,Real,0.17049973330800405,0.5822117872943238,"[0.17049973330800405, 0.00021301471911182692, 0.14276040216642003, 0.06873863710078776, 0]","[Client id: 54, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 70]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,88_1,Real,0.04087326391166355,0.5898752523289541,"[0.04087326391166355, 0.10790365180975886, 0.08528892990036172, 0.15580940670716997, 0]","[Client id: 88, ( id: 3, corrupt: False ), ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,50_1,Real,0.009685407585011312,0.6148834734924048,"[0.009685407585011312, 0.06355630377205178, 0.26381973968865735, 0.07782202244668429, 0]","[Client id: 50, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 90]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,21_1,Real,0.07727532986872601,0.631358357672299,"[0.07727532986872601, 0.11646985332489451, 0.20377938524673747, 0.03383378923194086, 0]","[Client id: 21, ( id: 3, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 74]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,15_1,Real,0.14457204576593216,0.7550544910099861,"[0.14457204576593216, 0.01127838322466359, 0.05632793628484916, 0.34287612573454107, 0]","[Client id: 15, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 65]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,8_1,Real,0.19493515252876947,0.7616661838851945,"[0.19493515252876947, 0.015434010553312791, 0.2613935364894348, 0.08990348431367737, 0]","[Client id: 8, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 92]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,78_1,Real,0.18998469877562793,0.7780063766581953,"[0.18998469877562793, 0.004420088480070339, 0.36330742689224615, 0.02029416251025078, 0]","[Client id: 78, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 69]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,49_1,Real,0.10079618986203169,0.788344874814031,"[0.10079618986203169, 0.1257489754336556, 0.3595045770555116, 0.002295132462832084, 0]","[Client id: 49, ( id: 2, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
