,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
0,8_1,Real,0.0019860539020327803,"[0.0019860539020327803, 0.13498147821929593, 0.6133022325681589, 0.5538683505801484, 0]","[Client id: 8, ( id: 2, corrupt: False ), ( id: 61, corrupt: False ), ( id: 125, corrupt: False ), Client id: 1]"
1,0_1,Real,0.25260088725579266,"[0.25260088725579266, 0.310897198978261, 0.02548795313965956, 0.2479364863789785, 0]","[Client id: 0, ( id: 32, corrupt: False ), ( id: 90, corrupt: False ), ( id: 124, corrupt: False ), Client id: 3]"
2,9_1,Real,0.38282760290495776,"[0.38282760290495776, 0.44184559915644545, 0.5579967291642507, 0.7023156790416809, 0]","[Client id: 9, ( id: 34, corrupt: False ), ( id: 60, corrupt: False ), ( id: 123, corrupt: False ), Client id: 3]"
3,4_1,Real,0.4491795145397032,"[0.4491795145397032, 0.8809589041162258, 0.4518558445973236, 0.40649940426233894, 0]","[Client id: 4, ( id: 5, corrupt: False ), ( id: 86, corrupt: False ), ( id: 134, corrupt: False ), Client id: 1]"
4,0_2,Real,0.45550496491824877,"[0.20290407766245613, 0.00024005486230786852, 0.07538582589013072, 0.05682100439916093, 0]","[Client id: 0, ( id: 14, corrupt: False ), ( id: 60, corrupt: False ), ( id: 121, corrupt: False ), Client id: 7]"
5,9_2,Real,0.46396383141008474,"[0.08113622850512699, 0.07345317916679331, 0.25194443759553153, 0.15615760881521493, 0]","[Client id: 9, ( id: 11, corrupt: False ), ( id: 79, corrupt: False ), ( id: 115, corrupt: False ), Client id: 2]"
6,9_3,Real,0.5015776495726856,"[0.037613818162600794, 0.4278256619788474, 0.03819548551466639, 0.6980509550212702, 0]","[Client id: 9, ( id: 19, corrupt: False ), ( id: 78, corrupt: False ), ( id: 114, corrupt: False ), Client id: 7]"
7,0_3,Real,0.7489159371195355,"[0.2934109722012868, 0.11731023402762565, 0.08018531659707326, 0.17138789892613232, 0]","[Client id: 0, ( id: 47, corrupt: False ), ( id: 65, corrupt: False ), ( id: 103, corrupt: False ), Client id: 8]"
8,3_1,Real,0.9856279551325831,"[0.9856279551325831, 0.23844830405188797, 0.14390746390707337, 0.12060084939719545, 0]","[Client id: 3, ( id: 47, corrupt: False ), ( id: 71, corrupt: False ), ( id: 131, corrupt: False ), Client id: 9]"
9,4_2,Real,1.1983592464917339,"[0.7491797319520307, 0.656958810127273, 0.1208052511743441, 0.5311329779237083, 0]","[Client id: 4, ( id: 41, corrupt: False ), ( id: 84, corrupt: False ), ( id: 136, corrupt: False ), Client id: 6]"
10,1_1,Real,1.226205831972366,"[1.226205831972366, 0.40820399457237366, 0.6880474239522928, 0.43305998438492405, 0]","[Client id: 1, ( id: 29, corrupt: False ), ( id: 64, corrupt: False ), ( id: 143, corrupt: False ), Client id: 0]"
11,8_2,Real,1.4414438843736799,"[1.439457830471647, 0.014669723571859482, 0.41247825788331854, 0.20711441972425515, 0]","[Client id: 8, ( id: 10, corrupt: False ), ( id: 99, corrupt: False ), ( id: 134, corrupt: False ), Client id: 0]"
12,2_1,Real,1.931955851666873,"[1.931955851666873, 0.24595432922332053, 0.12436282135395257, 0.3238467852037834, 0]","[Client id: 2, ( id: 25, corrupt: False ), ( id: 77, corrupt: False ), ( id: 148, corrupt: False ), Client id: 8]"
13,7_1,Real,1.9929742629730685,"[1.9929742629730685, 0.5325261719632685, 0.08016077835622733, 1.0252352366376447, 0]","[Client id: 7, ( id: 6, corrupt: False ), ( id: 75, corrupt: False ), ( id: 122, corrupt: False ), Client id: 0]"
14,1_2,Real,1.9982817146554672,"[0.7720758826831011, 0.47405467996809403, 0.15031789012589444, 0.15713813761965142, 0]","[Client id: 1, ( id: 16, corrupt: False ), ( id: 52, corrupt: False ), ( id: 113, corrupt: False ), Client id: 7]"
